advertiser,page_id,page_name,ad_id,ad_creation_time,ad_delivery_start_time,currency,reached_country,body_text,link_title,link_caption,link_description,publisher_platforms,ad_snapshot_url,eu_ads_found,status
Spencer Granite Co,1881955151887046,Spencer Granite Co,1075224398411367,2026-07-04,2026-07-04,USD,US,,Free quotes for kitchen & bathroom remodeling projects.,,,,https://www.facebook.com/ads/library/?id=1075224398411367,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1447829610726788,2026-07-04,2026-07-04,USD,US,,Free quotes for kitchen & bathroom remodeling projects.,,,,https://www.facebook.com/ads/library/?id=1447829610726788,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1012659271381569,2026-07-04,2026-07-04,USD,US,,Free quotes for kitchen & bathroom remodeling projects.,,,,https://www.facebook.com/ads/library/?id=1012659271381569,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,2229815071122900,2026-06-23,2026-06-23,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=2229815071122900,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1012334154917912,2026-06-23,2026-06-23,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=1012334154917912,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,2204314340519276,2026-06-23,2026-06-23,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=2204314340519276,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1230345852415278,2026-06-18,2026-06-18,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=1230345852415278,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,833102029656528,2026-06-18,2026-06-18,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=833102029656528,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1375795227737737,2026-06-18,2026-06-18,USD,US,,Contact Us,,,,https://www.facebook.com/ads/library/?id=1375795227737737,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,2197477211010187,2026-05-20,2026-05-20,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=2197477211010187,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1864352754245875,2026-05-20,2026-05-20,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=1864352754245875,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1752914679207742,2026-05-20,2026-05-21,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=1752914679207742,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1311876001137099,2026-05-20,2026-05-20,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=1311876001137099,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1503694578098608,2026-05-20,2026-05-20,USD,US,,Spencer Granite Co | Fale conosco | Fale conosco | Fale conosco | Fale conosco | Fale conosco | Fale conosco | Fale conosco,,,,https://www.facebook.com/ads/library/?id=1503694578098608,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1387981813159787,2026-05-20,2026-05-20,USD,US,,fb.com,,,,https://www.facebook.com/ads/library/?id=1387981813159787,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,2856320191408296,2026-04-27,2026-04-27,USD,US,,instagram.com,,,,https://www.facebook.com/ads/library/?id=2856320191408296,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1594601408436450,2026-04-27,2026-04-27,USD,US,,,,,,https://www.facebook.com/ads/library/?id=1594601408436450,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1519556506408889,2026-04-27,2026-04-27,USD,US,,,,,,https://www.facebook.com/ads/library/?id=1519556506408889,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,947022241050933,2026-04-07,2026-04-08,USD,US,,fb.com,,,,https://www.facebook.com/ads/library/?id=947022241050933,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1262730675224850,2026-03-21,2026-03-22,USD,US,,,,,,https://www.facebook.com/ads/library/?id=1262730675224850,0,US/empty
ART STONE Surfaces (Atlanta),116918619388,ART STONE Surfaces - Atlanta,2379739272834571,2026-07-10,2026-07-10,USD,US,,"Starting at $1,920 — Installed",,,,https://www.facebook.com/ads/library/?id=2379739272834571,0,US/empty
ART STONE Surfaces (Atlanta),116918619388,ART STONE Surfaces - Atlanta,1311645457685534,2026-07-07,2026-07-07,USD,US,,🔥 Limited-Time Slab Sale – 15% to 50% OFF! 🔥 | 🚨 Flash Sale Alert 🚨: Up to 50% Off on Select Slabs - This Week Only!,,,,https://www.facebook.com/ads/library/?id=1311645457685534,0,US/empty
ART STONE Surfaces (Atlanta),116918619388,ART STONE Surfaces - Atlanta,4629612253992614,2026-06-19,2026-06-19,USD,US,,"Premium Quartz Starting at $1,900 Installed | Premium Quartz Starting at $1,900 Installed | Premium Quartz Starting at $1,900 Installed",,,,https://www.facebook.com/ads/library/?id=4629612253992614,0,US/empty
ART STONE Surfaces (Atlanta),116918619388,ART STONE Surfaces - Atlanta,1304899391729205,2026-06-15,2026-06-15,USD,US,,🔥 Limited-Time Slab Sale – 15% to 50% OFF! 🔥 | 🚨 Flash Sale Alert 🚨: 15% - 50% Off,,,,https://www.facebook.com/ads/library/?id=1304899391729205,0,US/empty
ART STONE Surfaces (Atlanta),116918619388,ART STONE Surfaces - Atlanta,1403196897749187,2026-03-04,2026-03-04,USD,US,,Upgrade Your Kitchen For LESS!,,,,https://www.facebook.com/ads/library/?id=1403196897749187,0,US/empty
Stone Elegance Quartz,151841294689427,Stone Elegance Quartz Countertops,1520629902638968,2026-07-09,2026-07-09,USD,US,,FREE ESTIMATE,,,,https://www.facebook.com/ads/library/?id=1520629902638968,0,US/empty
Stone Elegance Quartz,151841294689427,Stone Elegance Quartz Countertops,2006088830014836,2026-07-09,2026-07-09,USD,US,,FREE ESTIMATE,,,,https://www.facebook.com/ads/library/?id=2006088830014836,0,US/empty
Stone Elegance Quartz,151841294689427,Stone Elegance Quartz Countertops,857405953756938,2026-06-27,2026-06-27,USD,US,,FREE ESTIMATE | FREE ESTIMATE | FREE ESTIMATE | FREE ESTIMATE,,,,https://www.facebook.com/ads/library/?id=857405953756938,0,US/empty
Stone Elegance Quartz,151841294689427,Stone Elegance Quartz Countertops,3371257029700651,2026-06-01,2026-06-02,USD,US,,FREE ESTIMATE,,,,https://www.facebook.com/ads/library/?id=3371257029700651,0,US/empty
Stone Elegance Quartz,151841294689427,Stone Elegance Quartz Countertops,911587111930532,2026-05-08,2026-05-08,USD,US,,Get Your New Kitchen in 4-5 Days,,,,https://www.facebook.com/ads/library/?id=911587111930532,0,US/empty
Stone Elegance Quartz,151841294689427,Stone Elegance Quartz Coutertopos,1930294354281204,2026-02-04,2026-02-04,USD,US,,Exclusive NEW QUARTZ,,,,https://www.facebook.com/ads/library/?id=1930294354281204,0,US/empty
